[2025-06-10 17:25:51,527] INFO in crawler_pipeline: [51/430] Downloading HTML: https://www.deeplearning.ai/the-batch/how-ai-can-make-you-a-10x-professional/
[2025-06-10 17:25:51,527] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/how_ai_can_make_you_a_10x_professional.html
[2025-06-10 17:25:51,532] INFO in crawler_pipeline: [52/430] Downloading HTML: https://www.deeplearning.ai/the-batch/how-ai-fund-is-building-ai-builders/
[2025-06-10 17:25:51,532] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/how_ai_fund_is_building_ai_builders.html
[2025-06-10 17:25:51,537] INFO in crawler_pipeline: [53/430] Downloading HTML: https://www.deeplearning.ai/the-batch/how-ai-models-can-encourage-bad-behavior/
[2025-06-10 17:25:51,537] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/how_ai_models_can_encourage_bad_behavior.html
[2025-06-10 17:25:51,544] INFO in crawler_pipeline: [54/430] Downloading HTML: https://www.deeplearning.ai/the-batch/how-large-companies-can-move-fast-in-ai/
[2025-06-10 17:25:51,544] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/how_large_companies_can_move_fast_in_ai.html
[2025-06-10 17:25:51,549] INFO in crawler_pipeline: [55/430] Downloading HTML: https://www.deeplearning.ai/the-batch/how-to-become-a-multilingual-coder/
[2025-06-10 17:25:51,549] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/how_to_become_a_multilingual_coder.html
[2025-06-10 17:25:51,554] INFO in crawler_pipeline: [56/430] Downloading HTML: https://www.deeplearning.ai/the-batch/how-to-build-a-career-in-ai-part-1-three-steps-to-career-growth/
[2025-06-10 17:25:51,554] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/how_to_build_a_career_in_ai_part_1_three_steps_to_career_growth.html
[2025-06-10 17:25:51,559] INFO in crawler_pipeline: [57/430] Downloading HTML: https://www.deeplearning.ai/the-batch/how-to-build-a-career-in-ai-part-2-learning-technical-skills/
[2025-06-10 17:25:51,559] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/how_to_build_a_career_in_ai_part_2_learning_technical_skills.html
[2025-06-10 17:25:51,565] INFO in crawler_pipeline: [58/430] Downloading HTML: https://www.deeplearning.ai/the-batch/how-to-build-a-career-in-ai-part-3-choosing-projects/
[2025-06-10 17:25:51,565] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/how_to_build_a_career_in_ai_part_3_choosing_projects.html
[2025-06-10 17:25:51,570] INFO in crawler_pipeline: [59/430] Downloading HTML: https://www.deeplearning.ai/the-batch/how-to-build-a-career-in-ai-part-4-progress-through/
[2025-06-10 17:25:51,570] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/how_to_build_a_career_in_ai_part_4_progress_through.html
[2025-06-10 17:25:51,574] INFO in crawler_pipeline: [60/430] Downloading HTML: https://www.deeplearning.ai/the-batch/how-to-build-a-career-in-ai-part-5-job-search-fundamentals/
[2025-06-10 17:25:51,574] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/how_to_build_a_career_in_ai_part_5_job_search_fundamentals.html
[2025-06-10 17:25:51,579] INFO in crawler_pipeline: [61/430] Downloading HTML: https://www.deeplearning.ai/the-batch/hugging-face-acquires-pollen-robotics-launches-reachy-2-robot-for-open-source-research/
[2025-06-10 17:25:51,579] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/hugging_face_acquires_pollen_robotics_launches_reachy_2_robot_for_open_source_research.html
[2025-06-10 17:25:51,585] INFO in crawler_pipeline: [62/430] Downloading HTML: https://www.deeplearning.ai/the-batch/inside-sam-altmans-brief-ouster-from-openai/
[2025-06-10 17:25:51,585] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/inside_sam_altmans_brief_ouster_from_openai.html
[2025-06-10 17:25:51,590] INFO in crawler_pipeline: [63/430] Downloading HTML: https://www.deeplearning.ai/the-batch/issue-1/
[2025-06-10 17:25:51,590] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/issue_1.html
[2025-06-10 17:25:51,596] INFO in crawler_pipeline: [64/430] Downloading HTML: https://www.deeplearning.ai/the-batch/issue-10/
[2025-06-10 17:25:51,596] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/issue_10.html
[2025-06-10 17:25:51,603] INFO in crawler_pipeline: [65/430] Downloading HTML: https://www.deeplearning.ai/the-batch/issue-100/
[2025-06-10 17:25:51,603] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/issue_100.html
[2025-06-10 17:25:51,610] INFO in crawler_pipeline: [66/430] Downloading HTML: https://www.deeplearning.ai/the-batch/issue-101/
[2025-06-10 17:25:51,610] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/issue_101.html
[2025-06-10 17:25:51,616] INFO in crawler_pipeline: [67/430] Downloading HTML: https://www.deeplearning.ai/the-batch/issue-102/
[2025-06-10 17:25:51,616] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/issue_102.html
[2025-06-10 17:25:51,623] INFO in crawler_pipeline: [68/430] Downloading HTML: https://www.deeplearning.ai/the-batch/issue-103/
[2025-06-10 17:25:51,623] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/issue_103.html
[2025-06-10 17:25:51,629] INFO in crawler_pipeline: [69/430] Downloading HTML: https://www.deeplearning.ai/the-batch/issue-104/
